[2026-06-21T08:23:27.229607] $MAD poller starting...
[2026-06-21T00:23:28.002557+00:00] Price: $0.001954 | Vol24h: $15976.39 | MCap: $959269
[2026-06-21T00:28:29.251948+00:00] Price: $0.001954 | Vol24h: $15976.39 | MCap: $959269
[2026-06-21T00:33:30.594323+00:00] Price: $0.001954 | Vol24h: $15976.39 | MCap: $959269
[2026-06-21T00:38:31.610710+00:00] Price: $0.001956 | Vol24h: $15976.49 | MCap: $960374
[2026-06-21T00:43:32.821445+00:00] Price: $0.001956 | Vol24h: $15976.49 | MCap: $960374
[2026-06-21T00:48:33.909248+00:00] Price: $0.001932 | Vol24h: $15986.32 | MCap: $948527
[2026-06-21T00:53:35.235384+00:00] Price: $0.001932 | Vol24h: $15982.86 | MCap: $948527
[2026-06-21T00:58:36.201296+00:00] Price: $0.001932 | Vol24h: $15982.86 | MCap: $948527
[2026-06-21T01:03:37.374534+00:00] Price: $0.001932 | Vol24h: $15982.86 | MCap: $948527
[2026-06-21T01:08:38.480709+00:00] Price: $0.001932 | Vol24h: $15982.86 | MCap: $948527
[2026-06-21T01:13:39.109156+00:00] Price: $0.001932 | Vol24h: $15982.86 | MCap: $948527
[2026-06-21T01:18:39.867613+00:00] Price: $0.001932 | Vol24h: $15982.76 | MCap: $948527
[2026-06-21T01:23:41.162154+00:00] Price: $0.001932 | Vol24h: $15982.76 | MCap: $948527
[2026-06-21T01:28:42.125896+00:00] Price: $0.001932 | Vol24h: $15982.76 | MCap: $948527
[2026-06-21T01:33:43.366916+00:00] Price: $0.001932 | Vol24h: $15979.52 | MCap: $948527
[2026-06-21T01:38:44.508026+00:00] Price: $0.001932 | Vol24h: $15979.52 | MCap: $948527
[2026-06-21T01:43:45.383035+00:00] Price: $0.001932 | Vol24h: $15975.57 | MCap: $948527
[2026-06-21T01:48:47.265058+00:00] Price: $0.001932 | Vol24h: $15975.57 | MCap: $948527
[2026-06-21T01:53:48.187990+00:00] Price: $0.001932 | Vol24h: $15975.57 | MCap: $948527
[2026-06-21T01:58:49.950959+00:00] Price: $0.001932 | Vol24h: $15975.57 | MCap: $948527
[2026-06-21T02:03:50.568140+00:00] Price: $0.001961 | Vol24h: $16049.44 | MCap: $962884
[2026-06-21T02:08:51.622421+00:00] Price: $0.002012 | Vol24h: $16780.94 | MCap: $987617
[2026-06-21T02:13:53.384675+00:00] Price: $0.002142 | Vol24h: $18614.33 | MCap: $1051482
[2026-06-21T02:18:54.143762+00:00] Price: $0.002165 | Vol24h: $18920 | MCap: $1062772
[2026-06-21T02:23:55.025390+00:00] Price: $0.002139 | Vol24h: $18936.49 | MCap: $1049972
[2026-06-21T02:28:55.945673+00:00] Price: $0.002081 | Vol24h: $19841.63 | MCap: $1021492
[2026-06-21T02:33:56.918694+00:00] Price: $0.002002 | Vol24h: $20647.8 | MCap: $982901
[2026-06-21T02:38:57.795297+00:00] Price: $0.001936 | Vol24h: $21763.78 | MCap: $950572
[2026-06-21T02:43:58.995667+00:00] Price: $0.001929 | Vol24h: $21830.09 | MCap: $947284
[2026-06-21T02:49:00.001942+00:00] Price: $0.001949 | Vol24h: $21869.72 | MCap: $956616
[2026-06-21T02:54:01.078307+00:00] Price: $0.001924 | Vol24h: $21908.25 | MCap: $944692
[2026-06-21T02:59:01.608117+00:00] Price: $0.001922 | Vol24h: $21975.69 | MCap: $943489
[2026-06-21T03:04:02.313273+00:00] Price: $0.001917 | Vol24h: $22098.89 | MCap: $940934
[2026-06-21T03:09:03.478378+00:00] Price: $0.002122 | Vol24h: $24948.37 | MCap: $1041747
[2026-06-21T03:14:04.015812+00:00] Price: $0.002120 | Vol24h: $25024.26 | MCap: $1040778
[2026-06-21T03:19:05.330827+00:00] Price: $0.002146 | Vol24h: $25061.55 | MCap: $1053666
[2026-06-21T03:24:05.964168+00:00] Price: $0.002121 | Vol24h: $25091.06 | MCap: $1041377
[2026-06-21T03:29:06.471987+00:00] Price: $0.002123 | Vol24h: $25101.68 | MCap: $1042040
[2026-06-21T03:34:07.127738+00:00] Price: $0.002123 | Vol24h: $25101.68 | MCap: $1042040
[2026-06-21T03:39:07.828435+00:00] Price: $0.002123 | Vol24h: $25082.33 | MCap: $1042040
[2026-06-21T03:44:08.369256+00:00] Price: $0.002105 | Vol24h: $25207.08 | MCap: $1033319
[2026-06-21T03:49:09.577805+00:00] Price: $0.002105 | Vol24h: $25207.08 | MCap: $1033319
[2026-06-21T03:54:10.034957+00:00] Price: $0.002105 | Vol24h: $25207.08 | MCap: $1033319
[2026-06-21T03:59:11.112444+00:00] Price: $0.002105 | Vol24h: $25207.08 | MCap: $1033319
[2026-06-21T04:04:11.896835+00:00] Price: $0.002105 | Vol24h: $25207.08 | MCap: $1033319
[2026-06-21T04:09:12.518785+00:00] Price: $0.002105 | Vol24h: $25201.65 | MCap: $1033319
[2026-06-21T04:14:13.648582+00:00] Price: $0.002096 | Vol24h: $25248.13 | MCap: $1029060
[2026-06-21T04:19:14.226084+00:00] Price: $0.002097 | Vol24h: $25252.38 | MCap: $1029626
[2026-06-21T04:24:14.753068+00:00] Price: $0.002097 | Vol24h: $25252.38 | MCap: $1029626
[2026-06-21T04:29:15.894662+00:00] Price: $0.002125 | Vol24h: $25261.71 | MCap: $1043232
[2026-06-21T04:34:16.417564+00:00] Price: $0.002127 | Vol24h: $25263.42 | MCap: $1044434
[2026-06-21T04:39:16.939755+00:00] Price: $0.002101 | Vol24h: $25263.64 | MCap: $1031358
[2026-06-21T04:44:18.034748+00:00] Price: $0.002101 | Vol24h: $25228.18 | MCap: $1031358
[2026-06-21T04:49:18.552484+00:00] Price: $0.002101 | Vol24h: $25218.04 | MCap: $1031358
[2026-06-21T04:54:19.029482+00:00] Price: $0.002122 | Vol24h: $25208.52 | MCap: $1041636
[2026-06-21T04:59:20.095013+00:00] Price: $0.002092 | Vol24h: $25313.15 | MCap: $1027030
[2026-06-21T05:04:20.711054+00:00] Price: $0.002092 | Vol24h: $25313.15 | MCap: $1027030
[2026-06-21T05:09:21.210433+00:00] Price: $0.002108 | Vol24h: $25209.04 | MCap: $1034732
[2026-06-21T05:14:22.807506+00:00] Price: $0.002108 | Vol24h: $25151.97 | MCap: $1034732
[2026-06-21T05:19:23.324059+00:00] Price: $0.002079 | Vol24h: $24962.15 | MCap: $1020432
[2026-06-21T05:24:23.879287+00:00] Price: $0.002076 | Vol24h: $24972.53 | MCap: $1019348
